base_state,outs,balls,strikes,event_type,ERV
100,2,2,2,Ball,-0.070859167404783
100,2,2,2,CalledStrike,0.0
100,2,3,0,Ball,-0.07602339181286549
100,2,3,0,CalledStrike,-0.06302521008403361
100,2,3,1,Ball,-0.07279693486590039
100,2,3,1,CalledStrike,-0.09944751381215469
100,2,3,2,Ball,-0.036093418259023353
100,2,3,2,CalledStrike,0.0
101,2,0,0,Ball,-0.11461067366579178
101,2,0,0,CalledStrike,-0.13869625520110956
101,2,0,1,Ball,-0.15042735042735042
101,2,0,1,CalledStrike,-0.05925925925925926
101,2,0,2,Ball,-0.15753424657534246
101,2,0,2,CalledStrike,0.0
101,2,1,0,Ball,-0.1178082191780822
101,2,1,0,CalledStrike,-0.10245901639344263
101,2,1,1,Ball,-0.14545454545454545
101,2,1,1,CalledStrike,-0.13043478260869565
101,2,1,2,Ball,-0.1580547112462006
101,2,1,2,CalledStrike,0.0
101,2,2,0,Ball,-0.04310344827586207
101,2,2,0,CalledStrike,-0.07142857142857142
101,2,2,1,Ball,-0.16568047337278108
101,2,2,1,CalledStrike,-0.21666666666666667
101,2,2,2,Ball,-0.24882629107981222
101,2,2,2,CalledStrike,0.0
101,2,3,0,Ball,-0.13513513513513514
101,2,3,0,CalledStrike,-0.1111111111111111
101,2,3,1,Ball,-0.17307692307692307
101,2,3,1,CalledStrike,-0.225
101,2,3,2,Ball,-0.14
101,2,3,2,CalledStrike,0.0
110,2,0,0,Ball,-0.11764705882352941
110,2,0,0,CalledStrike,-0.08704318936877077
110,2,0,1,Ball,-0.10810810810810811
110,2,0,1,CalledStrike,-0.1039426523297491
110,2,0,2,Ball,-0.1263823064770932
110,2,0,2,CalledStrike,0.0
110,2,1,0,Ball,-0.09919571045576407
110,2,1,0,CalledStrike,-0.14712153518123666
110,2,1,1,Ball,-0.11948051948051948
110,2,1,1,CalledStrike,-0.1111111111111111
110,2,1,2,Ball,-0.10624169986719788
110,2,1,2,CalledStrike,0.0
110,2,2,0,Ball,-0.024096385542168676
110,2,2,0,CalledStrike,-0.09836065573770492
110,2,2,1,Ball,-0.19148936170212766
110,2,2,1,CalledStrike,-0.125
110,2,2,2,Ball,-0.19848771266540643
110,2,2,2,CalledStrike,0.0
110,2,3,0,Ball,-0.13953488372093023
110,2,3,0,CalledStrike,-0.15328467153284672
110,2,3,1,Ball,-0.07575757575757576
110,2,3,1,CalledStrike,-0.1724137931034483
110,2,3,2,Ball,-0.16182572614107885
110,2,3,2,CalledStrike,0.0
111,2,0,0,Ball,-0.22432432432432434
111,2,0,0,CalledStrike,-0.1417624521072797
111,2,0,1,Ball,-0.26273458445040215
111,2,0,1,CalledStrike,-0.10309278350515463
111,2,0,2,Ball,-0.3253012048192771
111,2,0,2,CalledStrike,0.0
111,2,1,0,Ball,-0.15217391304347827
111,2,1,0,CalledStrike,-0.14935064935064934
111,2,1,1,Ball,-0.2924901185770751
111,2,1,1,CalledStrike,-0.02857142857142857
111,2,1,2,Ball,-0.21484375
111,2,1,2,CalledStrike,0.0
111,2,2,0,Ball,-0.05333333333333334
111,2,2,0,CalledStrike,-0.44680851063829785
111,2,2,1,Ball,-0.2608695652173913
111,2,2,1,CalledStrike,-0.3
111,2,2,2,Ball,-0.24615384615384617
111,2,2,2,CalledStrike,0.0
111,2,3,0,Ball,-1.0
111,2,3,0,CalledStrike,-0.17307692307692307
111,2,3,1,Ball,-1.0909090909090908
111,2,3,1,CalledStrike,-0.27586206896551724
111,2,3,2,Ball,-1.0240963855421688
111,2,3,2,CalledStrike,0.0
